_dataset,_kind,_index,_payload,domain,input_variables,retained_components,variance_explained_pct,input_missing_pct,domain_weight,k,silhouette_mean,minimum_cluster_share_pct,bootstrap_ari_mean,cross_algorithm_ari_mean,silhouette_mean_z,bootstrap_ari_mean_z,cross_algorithm_ari_mean_z,minimum_cluster_share_pct_z,selection_score,pac_0_10_0_90,gap_statistic,gap_se,clusterwise_jaccard_mean,clusterwise_jaccard_minimum,clusterwise_jaccard_sd_across_clusters,rank_silhouette,rank_bootstrap,rank_agreement,rank_pac,rank_gap,rank_weakest_cluster,mean_diagnostic_rank,publication_eligible,internal_viable,consensus_minimum_cluster_share_pct,consensus_mean_vote_confidence,consensus_below_0_70_pct,mean_prototype_distance,mean_ari_to_benchmarks,mean_blocked_ari,minimum_fold_blocked_ari,mean_matched_accuracy_pct,mean_coverage_pct,minimum_training_fold_share_pct,minimum_pooled_class_recall,complete_spatial_pass,all_fold_ari_pass,strict_pass,statistical_optimum,selected_primary,advanced_to_spatial_validation
README,metadata,,"{""figure"":2,""content"":""Frozen five-domain PCA retention and K=1--20 diagnostics. No reclustering or reselection."",""schema"":""sectioned-wide-csv-v1"",""instructions"":""Filter _dataset to obtain a table. header records name its original columns; row records contain those columns. _payload stores only structured metadata, geometry or numeric raster rows. Empty CSV cells retain original missing values."",""access_status"":""Local prepared package, not a published repository deposit."",""license"":""Not assigned by this packaging step. Confirm code and third-party data redistribution terms before deposit.""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure/data/domain_pca_summary.csv,header,,"[""domain"",""input_variables"",""retained_components"",""variance_explained_pct"",""input_missing_pct"",""domain_weight""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure/data/K1_20_complete_comparison.csv,row,3,,,,,,,,4,0.16959318463173126,14.417253434437937,0.9525349452315122,0.5902118321692368,1.4036586007808485,1.4707053062722395,1.6269658547127497,0.16289858091769838,4.542054406995263,0.0039055659787367,1.5038225903093654,0.0122939450606504,0.996344210195872,0.9948619114736078,0.0010519680976333,3.0,3.0,2.0,4.0,17.0,3.0,5.333333333333333,False,True,21.145305037175635,0.8870447242280677,21.79624796888079,1.6913992397248894,0.7359947934659905,0.838174540726299,0.7743491298425245,93.68175217200671,93.02795701663733,16.084329193998993,0.9252584150543334,True,True,True,False,True,True
Figure/data/K1_20_complete_comparison.csv,row,4,,,,,,,,5,0.180091015404878,14.493081884878626,0.9925432375906921,0.6394979259809566,1.7536102441979071,1.8742649008622916,2.2314457008076363,0.16619391390879545,5.900869324345034,0.0032864290181363,1.526334003016176,0.0063860752635322,0.9953966057927676,0.9929930155555988,0.0023335731204897,1.0,2.0,1.0,2.0,16.0,4.0,4.333333333333333,True,True,14.914569895120389,0.8965350551372598,19.19346102713083,1.6299584986719342,0.7671931947685596,0.7757724484414801,0.5186249353523227,88.84646005877809,91.352586314668,8.785081240768095,0.7375457962601704,True,True,True,True,False,True
Figure/data/K1_20_complete_comparison.csv,row,5,,,,,,,,6,0.172031077503244,7.066817667044168,0.910507615675006,0.5802500976730637,1.4849272585918454,1.0467798878799566,1.504788029907065,-0.156534736556969,3.9973614922396243,0.0283513133208255,1.545158793401253,0.0053266801973154,0.988201825768237,0.967738295761714,0.0104610137347238,2.0,5.0,3.0,8.0,15.0,7.0,6.666666666666667,False,True,6.834408390368801,0.8634668287993972,22.93465951056182,1.5910377071056891,0.7313626674823346,0.7957082574581976,0.4791748933212456,88.03023782606435,91.37829222202681,6.225997045790251,0.5973589713888567,False,False,False,False,False,True
Figure/data/K1_20_complete_comparison.csv,row,6,,,,,,,,7,0.15031980495113803,4.460091585011571,0.8062464292550193,0.4341899718595832,0.7611686388853408,-0.004892144142510477,-0.2865976439021626,-0.2698171576924787,0.40222456141754803,0.0596200750469043,1.5585783003837044,0.0047796755204657,0.8877493720135329,0.6966975763944881,0.0949923014651803,6.0,8.0,9.0,15.0,14.0,10.0,10.333333333333334,False,True,5.187847752228076,0.8216627025499511,27.316953074991385,1.5627600502803705,0.6434088485924885,0.7444936689724615,0.388436323539872,83.87470193360042,91.44422240219274,5.894666847270623,0.6400911161731208,True,False,False,False,False,True
Figure/data/K1_20_complete_comparison.csv,row,7,,,,,,,,8,0.14894029821645452,2.9484465015510364,0.8178125434614854,0.5216180200319686,0.7151819336945612,0.11177407890543938,0.7856823648465311,-0.33550983485266284,1.528760918733366,0.0048217636022514,1.5737721673017049,0.0063627305015016,0.9946506245700744,0.9900318769012914,0.0023961891737191,7.0,7.0,5.0,5.0,13.0,5.0,7.0,False,True,5.465557142153725,0.8264457608213964,25.463587572012408,1.5266627464946376,0.6880969765170025,0.7996780406301662,0.640667246511913,88.46280216504483,91.25535953714724,3.365337272279665,0.7060007317965605,True,True,True,False,False,True
Figure/data/K1_20_complete_comparison.csv,row,8,,,,,,,,9,0.139582592638097,2.53976069722783,0.7765963432718601,0.5130842876061569,0.4032370646520991,-0.3039695596818021,0.6810185770633949,-0.35327039577870606,0.6919684830890154,0.0052868980612883,1.5895798765018334,0.0059051334284201,0.9876865923143092,0.9789425017107632,0.0062545860114515,8.0,9.0,6.0,6.0,12.0,6.0,7.833333333333333,False,True,4.946575409916785,0.8036454174311238,30.332364961347185,1.5018403839980046,0.687730544856695,0.7883808691126488,0.7426835894718083,87.89891085692321,90.52157332576625,0.549092028316405,0.6701174596854469,False,True,False,False,False,True
Figure/data/K1_20_complete_comparison.csv,row,9,,,,,,,,10,0.12315394714745603,1.1157614850558866,0.8218352190957336,0.4835879468136503,-0.14442193393573077,0.1523504007726744,0.3192543924085968,-0.41515418155957007,0.22339431385564795,0.0846724515322076,1.6062035455788235,0.0058164697988059,0.7800674661123908,0.4393364358355311,0.1818356004639442,9.0,6.0,7.0,18.0,11.0,15.0,11.0,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,10,,,,,,,,11,0.11774511763324809,0.443153281796248,0.7555931499313191,0.48312782426816875,-0.32472859141220484,-0.5158266445458699,0.31361112097101856,-0.44438421315592563,-0.6380401682760376,0.049088492808005,1.6149815544329584,0.003027817067901369,0.7484533287768778,0.34052557864010363,0.21277684893120305,10.0,12.0,8.0,11.0,10.0,16.0,11.166666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,11,,,,,,,,12,0.10965063344715947,0.44118371165493125,0.6906965512103502,0.4106003230483824,-0.5945631986513535,-1.1704320657167204,-0.5759179405623192,-0.4444698062206294,-2.4520306564855505,0.0974249530956848,1.6184312262446916,0.00901881406484142,0.8373620353421473,0.4803710419600262,0.12435261818383478,11.0,18.0,11.0,19.0,9.0,12.0,13.333333333333334,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,12,,,,,,,,13,0.09961236544693573,0.4451228519375646,0.6685654708289288,0.39680350179527196,-0.929195034470723,-1.393666032974936,-0.7451320077095052,-0.44429862009122173,-3.1790677301779695,0.07518449030644153,1.6284871370986291,0.004166742738352923,0.7669710543801304,0.550732342569444,0.12936739880587841,14.0,19.0,13.0,17.0,8.0,11.0,13.666666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,13,,,,,,,,14,0.10830802967632343,0.440198926584273,0.732066244565238,0.41440169437108376,-0.6393197208524803,-0.7531401571111147,-0.5292952083800089,-0.4445126027529813,-2.0328832370318493,0.07370856785490931,1.6359688566176889,0.004916184424337668,0.7740796202050227,0.4542691672107553,0.14663438862082742,12.0,15.0,10.0,16.0,7.0,14.0,12.333333333333334,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,14,,,,,,,,15,0.10041957591414917,0.44216849672558967,0.7729926799042157,0.3847407375292671,-0.9022861772325796,-0.34031934723657903,-0.8930783618038041,-0.44442700968827753,-2.2467906386950323,0.051990306441525955,1.6439448794258809,0.007310385603550323,0.9107413991279647,0.7850798772181543,0.06103042260665775,13.0,10.0,15.0,12.0,6.0,8.0,10.666666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,15,,,,,,,,16,0.09938128927817974,0.44216849672558967,0.7529506879203147,0.39140092602338195,-0.9368981006334516,-0.5424808913281837,-0.8113930545594277,-0.44442700968827753,-2.4018787989431325,0.01368042526579112,1.6505611511080929,0.004013503010163627,0.9187952358289914,0.7626595787487217,0.06716095003761242,15.0,13.0,14.0,7.0,5.0,9.0,10.5,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,16,,,,,,,,17,0.09913348420595038,0.44216849672558967,0.7447732475340466,0.3719201287441425,-0.9451588350792359,-0.624965904620921,-1.050319462201824,-0.44442700968827753,-2.7315509543240504,0.03416119449656035,1.6546934339819774,0.005581551261688314,0.8540460495457045,0.3190292165617673,0.14585304544902672,16.0,14.0,19.0,9.0,4.0,17.0,13.166666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,17,,,,,,,,18,0.09322421446353668,0.44118371165493125,0.7595106635211211,0.37327664071879013,-1.1421479752587642,-0.47631108157436625,-1.0336822307589482,-0.4444698062206294,-2.763258739147236,0.05524624765478424,1.6654373579764936,0.011311036078475207,0.6749069826747937,0.0976002978895107,0.22896796369862252,19.0,11.0,18.0,13.0,2.0,19.0,13.666666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,18,,,,,,,,19,0.09600024172420553,0.44118371165493125,0.7101530702560804,0.40524135116714266,-1.049607399683224,-0.9741761278792013,-0.6416441981629636,-0.4444698062206294,-2.7765451772805463,0.05594434021263289,1.6623302369927924,0.005703097708491409,0.7929922473061296,0.4582762927639628,0.13338420293101905,17.0,17.0,12.0,14.0,3.0,13.0,12.666666666666666,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_complete_comparison.csv,row,19,,,,,,,,20,0.09362829331877016,0.440198926584273,0.7292577813613572,0.3821729620468785,-1.128677758171558,-0.7814688411200219,-0.9245713937801254,-0.4445126027529813,-2.9458461437599506,0.04324890556597873,1.6737063360688733,0.0070968336139357715,0.6754012896557462,0.2630040957236442,0.20920453811770487,18.0,16.0,17.0,10.0,1.0,18.0,13.333333333333334,False,False,,,,,,,,,,,,False,False,False,False,False,False
Figure/data/K1_20_selection_results.json,json,,"{""cohort_postcodes"":101545,""k0_status"":""undefined; a partition cannot contain zero clusters"",""k1_status"":""unpartitioned null reference"",""evaluated_partition_range"":""K=2–20"",""statistical_optimum_k"":5,""selected_primary_k"":4,""internal_viable_candidates"":[2,3,4,5,6,7,8,9],""strict_candidates"":[2,3,4,5,8],""high_k_candidates_advanced"":[],""selection_basis"":""K=4 passes every unchanged internal and spatial criterion and has the strongest spatial robustness among the strict candidates; higher K is retained only as secondary resolution when justified."",""thresholds"":{""internal"":{""minimum_cluster_share_pct"":2.0,""bootstrap_ari_mean"":0.7,""clusterwise_jaccard_minimum"":0.6},""spatial"":{""mean_blocked_ari"":0.5,""mean_coverage_pct"":90.0,""minimum_training_fold_share_pct"":2.0,""minimum_pooled_class_recall"":0.6},""minimum_fold_ari"":0.5},""cohort_definition"":""Postcodes within 2019 Master Plan residential/mixed-residential land-use parcels, plus all known HDB postcodes with a positive dwelling count""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
